bnum	eg	name	description	0.11/0.11_rel_mrna	0.21/0.11_rel_mrna	0.31/0.11_rel_mrna	0.4/0.11_rel_mrna	0.48/0.11_rel_mrna	0.11/0.11_rel_prot	0.21/0.11_rel_prot	0.25/0.11_rel_prot	0.31/0.11_rel_prot	0.4/0.11_rel_prot	0.48/0.11_rel_prot	0.11_abs_mrna	0.21_abs_mrna	0.31_abs_mrna	0.4_abs_mrna	0.48_abs_mrna	0.11_abs_prot	0.21_abs_prot	0.31_abs_prot	0.4_abs_prot	0.48_abs_prot
b2014	eg11896	yeef																						
b1726	eg13987	ynib		1	1.248330549	0.979420298	1	1.125058485												1.66E+15		5.16E+14	5.32E+14	1.34E+15
b2060	eg13568	wzc																						
b3410	eg12933	feoc																						
b4300	eg12552	sgcr		1	1.079228237	0.539614118	0.348685917	0.295248165																
b0277	eg13550	yagk																						
b1822	eg12207	rlma	rlma 23s rrna m(1)g745 methyltransferase, sam-dependent	1	0.972654947	1.274560627	1.328685814	1.777685362	1	1.125942256	1.18687218	1.213913632	1.120249267	1.898579199							8.70E+14	4.18E+14	1.51E+15	6.82E+14
b1852	eg11221	zwf	zwf glucose 6-phosphate dehydrogenase	1	1.156688184	1.292352831	1.222640278	1.337927555	1	0.992374629	0.90131344	0.946977757	0.939831239	0.931013928	3.79E+11	5.13E+11	8.59E+11	1.04E+12	1.54E+12	8.09E+15	8.11E+15	6.85E+15	8.37E+15	7.01E+15
b4333	eg12572	yjik																			5.47E+14			
b2551	eg10408	glya	glya serine hydroxymethyltransferase	1	0.801069878	1.265756594	1.164733586	1.558329159	1	1.289738356	1.486390703	1.47216217	1.771317369	2.405649576	1.18E+12	1.32E+12	2.63E+12	4.13E+12	5.87E+12	2.05E+16	1.74E+16	1.62E+16	1.99E+16	1.66E+16
b0284	eg13557	yagr		1	0.578344092	0.432268616	0.411795509	0.466516496																
b1080	eg20265	flgi		1	1.879045498	1.2397077	1.205807828	0.858565436							2.20E+11	5.18E+11	5.10E+11	5.17E+11						
b3559	eg10410	glys	glys glycine--trna ligase, beta-subunit	1	1.319507911	1.214194884	1.337927555	1.515716567	1	1.033868268	1.036219103	1.158848313	1.207620626	1.266104272	1.84E+11	2.91E+11	4.59E+11	6.60E+11	9.60E+11	6.06E+15	5.43E+15	4.75E+15	4.84E+15	4.28E+15
b4096	eg10721	phnl																						
b2029	eg10411	gnd	gnd gluconate-6-phosphate dehydrogenase, decarboxylating	1	1.347233577	1.879045498	2.281527432	2.808889751	1	1.185784274	1.366291201	1.597362521	1.956104402	2.405257918	6.47E+11	1.18E+12	2.32E+12	3.14E+12	4.89E+12	1.39E+16	1.29E+16	1.52E+16	1.01E+16	1.12E+16
b3732	eg10101	atpd	atpd atp synthase subunit beta, membrane-bound, f1 sector	1	1.693490625	1.414213562	1.310393404	0.888842681	1	1.195209505	1.329196658	1.38435629	1.356780545	1.163876695	7.23E+11	2.53E+12	1.77E+12	2.07E+12	1.91E+12	2.05E+16	2.30E+16	2.47E+16	2.01E+16	1.72E+16
b1779	eg10367	gapa	gapa glyceraldehyde 3-p dehydrogenase a	1	0.972654947	1.840375301			1	1.41020201	2.087227925	1.605589652	1.99374404	1.965382349	2.72E+12	4.95E+12	7.52E+12			1.81E+16	1.94E+16	1.74E+16	1.75E+16	1.56E+16
b1764	eg10943	seld	seld selenophosphate synthase, atp-dependent	1	1.205807828	1.064370182	1.01395948	0.907519155	1	1.109665784	1.135528903	1.105065466	0.978300807	0.967468622	3.85E+11	1.12E+12	6.89E+11	6.73E+11	8.55E+11	1.01E+16	1.10E+16	7.23E+15	7.08E+15	7.24E+15
b2495	eg14200	yfgd	yfgd function unknown	1	0.876605721	1.00695555	0.979420298	0.965936329	1	1.056490708	1.214055843	1.485535821	1.347143859	1.679000855	7.33E+11			1.72E+12	2.13E+12		5.40E+15	1.84E+15		3.18E+15
b3628	eg11351	rfab	rfab udp-d-galactose:glucosyllps-alpha-1,3-d-galactosyltransferase	1	2.114036081	1.328685814	1.536875181	1.879045498	1	0.963516532	0	0.793726347	0.605920541							6.47E+14		7.45E+14	1.40E+15	
b2045	eg13577	wcak																						
b4306	eg12558	yjhp		1		0.578344092																		
b1252	eg11012	tonb		1		0.737134609	0.732042848	0.742261785							4.13E+11			7.83E+11	1.12E+12					1.25E+15
b0394	eg11288	mak	mak cryptic manno(fructo)kinase	1	0.707106781	0.678302164	0.650670928	0.594603558	1	0.821438365	0.739312304	0.656027898	0.527678441	0.381613272	3.13E+11		4.97E+11				6.69E+14	8.27E+14	3.92E+14	7.48E+14
b1801	eg13508	yeav																						
b1389	eg14299	paab																						
b4310	eg12562	nanm	nanm n-acetylneuraminic acid mutarotase																					
b4041	eg10740	plsb	plsb glycerol-3-phosphate acyltransferase	1	1.125058485	0.829319546	0.790041312	0.870550563	1	0.944076919	0.813136885	0.724560612	0.601034013	0.591161848						3.83E+15	2.99E+15	2.54E+15	3.10E+15	2.58E+15
b0728	eg10981	succ	succ succinyl coa synthase beta-subunit	1	1.474269217	1.132883885	1.132883885	0.381564802	1	1.42443892	1.539434446	1.514904511	1.521698213	0.91421864	1.70E+12	4.75E+12	3.33E+12	4.73E+12	2.26E+12	3.03E+16	3.02E+16	3.29E+16	2.82E+16	2.34E+16
b0899	eg13697	ycam																						
b3118	eg10989	tdca																						
b1190	eg11408	dadx	dadx alanine racemase	1	1.156688184	0.812252396	0.659753955	0.360982299	1	0.989685805	0.785271624	0.752515664	0.491360082	0.281735496	3.08E+11	6.93E+11	5.28E+11			4.13E+14	2.31E+15	4.28E+14	2.49E+14	
b2493	eg14221	yfgo		1	0.888842681	0.986232704	0.920187651	0.952637998							2.25E+11									
b1681	eg13963	sufd	sufd complexed with sufc and sufd	1	1.148698355	0.835087919	0.806641759	0.870550563	1	0.896052969	0	0.760119052			2.46E+11	4.89E+11	3.70E+11	5.00E+11	6.12E+11	1.11E+15	1.42E+15	7.85E+14	1.45E+15	
b4520	eg14341	ymgf																						
b3800	eg10090	aslb		1		0.763129604	0.668963777	0.773782497																
b4134	eg30064	pheu																						
b1248	eg14256	yciu		1	1.433955248	1.385109468	1.494849249	1.424050196																
b1374	eg13372	pinr																						
b0087	eg10604	mray		1	1.705269784	1.049716684	1.140763716	1.569168196								3.04E+11			6.49E+11					
b1316	eg13917	ycjt		1		0.574349177	0.598739352	0.678302164																
b3876	eg11841	yiho																						
b3110	eg12754	yhao																						
b1751	eg14001	ydjy																						4.67E+14
b2794	eg13173	quef	quef 7-cyano-7-deazaguanine reductase (nadph-dependent)	1	0.823591017	1.164733586	1.2397077	1.443929196	1	1.068454171	0.968086329	0.919122083	0.940300971	0.970697474					7.38E+11	1.01E+15	2.86E+15	4.60E+15	1.49E+15	1.65E+15
b3162	eg10215	dead	dead translation factor w2, putative rna helix-destabilizer						1	2.162917493	3.121164173									4.33E+14	4.38E+14	5.36E+14	3.58E+14	8.22E+14
b3548	eg12269	yhjy		1	0.615572207	0.742261785	0.632878297	0.371130893							4.69E+11									
b1347	eg11901	ydac																						
b0579	eg12619	ybdf		1	1.310393404	1.310393404	1.274560627	1.265756594	1	0.922417634	0.863226173	0.950856437	0.736098736	0.715458091							2.77E+15	1.24E+15		
b4151	eg10333	frdd		1	1.148698355	0.742261785	0.628506687	0.503477775													3.22E+15			
b1520	eg13813	ynee																						
